"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"13172235000102","SHIN CA 05 BLOCO F LOJA 08","08","      LAGO NORTE","BRASILIA","9701","DF","71503505"
"13191345000111","QUADRA 4 28","28","CASA","JARDIM RORIZ (PLANALTINA)","9701","DF","73340400"
"13213957000168","SAN DIEGO AV. COMERCIAL JARD.BOT. LOTES 24 E 25 S/N","S/N","LOJA  1","LAGO SUL","9701","DF","71680362"
"13225679000169","QNP 16 CONJUNTO X 02","02","CASA","CEILANDIA SUL (CEILANDIA)","9701","DF","72231623"
"13275924000142","PRIVE LUCENA RORIZ MD 08","MD 08","LOTE 31","CEILANDIA NORTE (CEILANDIA)","9701","DF","72268000"
"13283138000197","CLN 310 BLOCO B 60","60","LOJA 60","ASA NORTE","9701","DF","70756520"
"13289514000150","DF-250 17","17","CONJ B RAJADINHA III","PLANALTINA","9701","DF","73390300"
"13330723000109","QUADRA 7 37","37","CONJ b","SOBRADINHO","9701","DF","73035070"
"13336980000140","VARJAO DO TORTO S/N","S/N","QUADRA04                  CONJ  B                   LOTE  01                  LOJA  02","SETOR DE HABITACOES INDIVIDUAIS NORTE","9701","DF","71540400"
"13375243000156","QUADRA 2 3","3","EDIF GUAR;LOJA 11","SOBRADINHO","9701","DF","73015100"
"13380655000184","CNB 9 06","06","LOJA 6","TAGUATINGA NORTE (TAGUATINGA)","9701","DF","72115095"
"13401413000120","QUADRA 18 CONJUNTO D SN","SN","CASA 20","SETOR RESIDENCIAL LESTE (PLANALTINA)","9701","DF","73356020"
"13426372000126","QNR 3 CONJUNTO L CS 20","CS 20","","CEILANDIA NORTE (CEILANDIA)","9701","DF","72275374"
"13463214000146","QE 38 CONJUNTO A 89","89","CASA","GUARA II","9701","DF","71070010"
"13487567000186","HABITACIONAL SOL NASCENTE CH 86","CH 86","CONJ C;LOTE 28","CEILANDIA SUL (CEILANDIA)","9701","DF","72236800"
"13488780000102","QUADRA 104 CONJUNTO 13 12","12","","RECANTO DAS EMAS","9701","DF","72600416"
